"200","200","200","default","""Bob"" <200>","FeaturesTestChannel/Bob","","","","2018-07-22 22:22:21","2018-07-22 22:22:21","2018-07-22 22:22:21",0,0,"ANSWERED","DOCUMENTATION","1532298141.5",""
"200","200","200","default","""Bob"" <200>","FeaturesTestChannel/Bob","","","","2018-07-22 22:22:22","2018-07-22 22:22:22","2018-07-22 22:22:24",1,1,"ANSWERED","DOCUMENTATION","1532298141.5",""
"200","200","200","default","""Bob"" <200>","FeaturesTestChannel/Bob","","","","2018-07-22 22:22:24","2018-07-22 22:22:24","2018-07-22 22:22:24",0,0,"ANSWERED","DOCUMENTATION","1532298144.7",""
"200","200","200","default","""Bob"" <200>","FeaturesTestChannel/Bob","","","","2018-07-22 22:22:25","2018-07-22 22:22:25","2018-07-22 22:22:26",1,1,"ANSWERED","DOCUMENTATION","1532298144.7",""
"200","200","200","default","""Bob"" <200>","CDRTestChannel/Bob","","Park","701","2018-07-22 22:25:18","2018-07-22 22:25:18","2018-07-22 22:25:21",3,3,"ANSWERED","DOCUMENTATION","1532298318.21",""
"200","200","200","default","""Bob"" <200>","CDRTestChannel/Bob","CDRTestChannel/David","AppDial","(Outgoing Line)","2018-07-22 22:25:21","2018-07-22 22:25:24","2018-07-22 22:25:26",5,2,"ANSWERED","DOCUMENTATION","1532298321.23",""
"200","","s","default",""""" <>","CDRTestChannel/Bob","","Wait","1","2018-07-22 22:25:31","2018-07-22 22:25:31","2018-07-22 22:25:31",0,0,"ANSWERED","DOCUMENTATION","1532298331.31",""
"200","","s","default",""""" <>","CDRTestChannel/Bob","","AppDial","(Outgoing Line)","2018-07-22 22:25:32","2018-07-22 22:25:33","2018-07-22 22:25:33",1,0,"ANSWERED","DOCUMENTATION","1532298332.47",""
"200","200","200","default","""Bob"" <200>","CDRTestChannel/Bob","CDRTestChannel/Charlie","Bridge","","2018-07-22 22:25:34","2018-07-22 22:25:35","2018-07-22 22:25:38",4,3,"ANSWERED","DOCUMENTATION","1532298334.49",""
"200","200","200","default","""Bob"" <200>","CDRTestChannel/Bob","","Bridge","","2018-07-22 22:25:38","2018-07-22 22:25:38","2018-07-22 22:25:40",2,2,"ANSWERED","DOCUMENTATION","1532298338.52",""
"200","200","200","default","""Bob"" <200>","CDRTestChannel/Bob","","Bridge","","2018-07-22 22:25:41","2018-07-22 22:25:42","2018-07-22 22:25:42",1,0,"ANSWERED","DOCUMENTATION","1532298341.54",""
"200","200","200","default","""Bob"" <200>","CELTestChannel/Bob","CELTestChannel/Charlie","","","2018-07-22 22:25:49","2018-07-22 22:25:49","2018-07-22 22:25:55",6,6,"ANSWERED","DOCUMENTATION","1532298349.86",""
"200","200","200","default","""Bob"" <200>","CELTestChannel/Bob","","","","2018-07-22 22:25:59","2018-07-22 22:25:59","2018-07-22 22:26:00",1,1,"ANSWERED","DOCUMENTATION","1532298359.117",""
"200","","s","default",""""" <>","CELTestChannel/Bob","","Wait","1","2018-07-22 22:26:11","2018-07-22 22:26:11","2018-07-22 22:26:11",0,0,"ANSWERED","DOCUMENTATION","1532298371.163",""
"200","200","200","default","""Bob"" <200>","CELTestChannel/Bob","","Bridge","","2018-07-22 22:26:20","2018-07-22 22:26:20","2018-07-22 22:26:22",2,2,"ANSWERED","DOCUMENTATION","1532298380.244",""
"200","200","200","default","""Bob"" <200>","CELTestChannel/Bob","","Bridge","","2018-07-22 22:26:24","2018-07-22 22:26:26","2018-07-22 22:26:26",2,0,"ANSWERED","DOCUMENTATION","1532298384.258",""
