"100","100","100","default","""Alice"" <100>","FeaturesTestChannel/Alice","FeaturesTestChannel/Bob","","","2018-07-22 21:55:44","2018-07-22 21:55:44","2018-07-22 21:55:46",1,1,"ANSWERED","DOCUMENTATION","1532296544.4",""
"100","100","100","default","""Alice"" <100>","FeaturesTestChannel/Alice","FeaturesTestChannel/Bob","","","2018-07-22 21:55:46","2018-07-22 21:55:46","2018-07-22 21:55:48",1,1,"ANSWERED","DOCUMENTATION","1532296544.4",""
"200","200","200","default","""Bob"" <200>","FeaturesTestChannel/Bob","","","","2018-07-22 21:55:44","2018-07-22 21:55:44","2018-07-22 21:55:44",0,0,"ANSWERED","DOCUMENTATION","1532296544.5",""
"200","200","200","default","""Bob"" <200>","FeaturesTestChannel/Bob","","","","2018-07-22 21:55:46","2018-07-22 21:55:46","2018-07-22 21:55:48",1,1,"ANSWERED","DOCUMENTATION","1532296544.5",""
"100","100","100","default","""Alice"" <100>","FeaturesTestChannel/Alice","FeaturesTestChannel/Bob","","","2018-07-22 21:55:48","2018-07-22 21:55:48","2018-07-22 21:55:49",1,1,"ANSWERED","DOCUMENTATION","1532296548.6",""
"100","100","100","default","""Alice"" <100>","FeaturesTestChannel/Alice","FeaturesTestChannel/Bob","","","2018-07-22 21:55:49","2018-07-22 21:55:49","2018-07-22 21:55:50",1,1,"ANSWERED","DOCUMENTATION","1532296548.6",""
"200","200","200","default","""Bob"" <200>","FeaturesTestChannel/Bob","","","","2018-07-22 21:55:48","2018-07-22 21:55:48","2018-07-22 21:55:48",0,0,"ANSWERED","DOCUMENTATION","1532296548.7",""
"200","200","200","default","""Bob"" <200>","FeaturesTestChannel/Bob","","","","2018-07-22 21:55:49","2018-07-22 21:55:49","2018-07-22 21:55:50",1,1,"ANSWERED","DOCUMENTATION","1532296548.7",""
"100","100","100","default","""Alice"" <100>","CDRTestChannel/Alice","","","","2018-07-22 21:58:37","2018-07-22 21:58:38","2018-07-22 21:58:39",2,1,"ANSWERED","DOCUMENTATION","1532296717.17",""
"100","100","100","default","""Alice"" <100>","CDRTestChannel/Alice","","","","2018-07-22 21:58:37","2018-07-22 21:58:39","2018-07-22 21:58:39",2,0,"ANSWERED","DOCUMENTATION","1532296717.17",""
