"100","100","100","default","""Alice"" <100>","FeaturesTestChannel/Alice","FeaturesTestChannel/Bob","","","2018-07-22 21:55:44","2018-07-22 21:55:44","2018-07-22 21:55:46",1,1,"ANSWERED","DOCUMENTATION","1532296544.4",""
"100","100","100","default","""Alice"" <100>","FeaturesTestChannel/Alice","FeaturesTestChannel/Bob","","","2018-07-22 21:55:46","2018-07-22 21:55:46","2018-07-22 21:55:48",1,1,"ANSWERED","DOCUMENTATION","1532296544.4",""
"100","100","100","default","""Alice"" <100>","FeaturesTestChannel/Alice","FeaturesTestChannel/Bob","","","2018-07-22 21:55:48","2018-07-22 21:55:48","2018-07-22 21:55:49",1,1,"ANSWERED","DOCUMENTATION","1532296548.6",""
"100","100","100","default","""Alice"" <100>","FeaturesTestChannel/Alice","FeaturesTestChannel/Bob","","","2018-07-22 21:55:49","2018-07-22 21:55:49","2018-07-22 21:55:50",1,1,"ANSWERED","DOCUMENTATION","1532296548.6",""
"100","100","100","default","""Alice"" <100>","CDRTestChannel/Alice","","","","2018-07-22 21:58:37","2018-07-22 21:58:38","2018-07-22 21:58:39",2,1,"ANSWERED","DOCUMENTATION","1532296717.17",""
"100","100","100","default","""Alice"" <100>","CDRTestChannel/Alice","","","","2018-07-22 21:58:37","2018-07-22 21:58:39","2018-07-22 21:58:39",2,0,"ANSWERED","DOCUMENTATION","1532296717.17",""
"100","100","100","default","""Alice"" <100>","CDRTestChannel/Alice","","","","2018-07-22 21:58:39","2018-07-22 21:58:39","2018-07-22 21:58:39",0,0,"ANSWERED","DOCUMENTATION","1532296717.17",""
"100","100","100","default","""Alice"" <100>","CDRTestChannel/Alice","","","","2018-07-22 21:58:39",,"2018-07-22 21:58:40",1,0,"FAILED","DOCUMENTATION","1532296719.18",""
"100","100","100","default","""Alice"" <100>","CDRTestChannel/Alice","","Park","700","2018-07-22 21:58:42","2018-07-22 21:58:42","2018-07-22 21:58:45",3,3,"ANSWERED","DOCUMENTATION","1532296722.20",""
"100","100","100","default","""Alice"" <100>","CDRTestChannel/Alice","CDRTestChannel/Bob","Dial","CDRTestChannel/Bob","2018-07-22 21:58:45","2018-07-22 21:58:49","2018-07-22 21:58:50",5,1,"ANSWERED","DOCUMENTATION","1532296725.22",""
